id,name,credits,WLH,attendance_time,selfstudy_time,AR,RPK,frequency,duration,RS,examination_type,examination_prerequisites,note,study_area
B.Bio-NF.117,Genomanalyse - Vorlesung mit Übung,6,4.0,56.0,124.0,BSc Bio: mindestens 40 C aus dem ersten,Für die Veranstaltung werden grundlegende,jedes Sommersemester,1.0,3 - 6,Klausur,,Das Modul kann nicht in Kombination mit B.Bio.117 oder SK.Bio.117 belegt werden.,['I.2.a.II.2.a']
B.Bio-NF.129,Genetik und mikrobielle Zellbiologie,6,4.0,56.0,124.0,keine,Biologische Grundkenntnisse,jedes Sommersemester,1.0,4 - 6,Klausur,,Das Modul kann nicht in Kombination mit B.Bio.129 belegt werden.,['I.2.a.II.2.b']
B.Bio-NF.130,Kognitionspsychologie,3,2.0,28.0,62.0,keine,keine,jedes Wintersemester,1.0,ab 3,Klausur,,Das Modul kann nicht in Kombination mit B.Bio.130 belegt werden.,"['I.2.a.II.2.b', 'I.2.a.IX.2.b']"
B.Bio.102,Ringvorlesung Biologie II,8,6.0,84.0,156.0,keine,keine,jedes Sommersemester,1.0,2,Klausur,,Die Klausuren werden als E-Prüfungen durchgeführt,['I.2.a.II.2.a']
B.ES.115,Ecological Modelling,6,4.0,56.0,124.0,none,none,each winter semester,1.0,3,Oral Presentation,Written examination (30 minutes); ungraded,,['I.2.a.IV.1.a']
B.Forst.1101,Grundlagen der Forstbotanik,6,4.0,56.0,124.0,keine,keine,jedes Wintersemester,1.0,1,Klausur,,,['I.2.a.IV.2.a']
B.Forst.1105,Angewandte Informatik (inkl. GIS),6,4.0,56.0,124.0,keine,keine,jedes Wintersemester,1.0,1,Klausur,,,['I.2.a.IV.1.a']
B.Forst.1108,Bodenkunde,6,4.0,56.0,124.0,keine,Naturwissenschaftliche Grundlagen (B.Forst.1103),jedes Sommersemester,1.0,2,Klausur,,,['I.2.a.IV.2.a']
B.Forst.1114,Forstgenetik,6,4.0,56.0,124.0,keine,keine,jedes Wintersemester,1.0,3,Klausur,,,['I.2.a.IV.2.b']
B.Forst.1128,Morphologie & Systematik der Waldpflanzen,9,3.0,42.0,228.0,keine,keine,jedes Sommersemester,2.0,,Klausur,,,['I.2.a.IV.2.a']
B.Geg.01,Einführung in die Geographie,6,2.0,28.0,152.0,keine,keine,jedes Wintersemester,1.0,,Portfolio,Regelmäßige Teilnahme am Übungsteil,,['I.2.a.III.2.a']
B.Geg.02,Regionale Geographie,7,4.0,56.0,154.0,keine,keine,jedes Wintersemester,,,Klausur,,,['I.2.a.III.2.a']
B.Geg.03,Kartographie,6,3.0,42.0,138.0,keine,keine,jedes Wintersemester,1.0,,Klausur,Regelmäßige Teilnahme an der Übung,,['I.2.a.II.2.b']
B.Geg.04,Geoinformatik,10,6.0,84.0,216.0,,,jährlich,2.0,,Projektarbeitsbericht,Regelmäßige Teilnahme an der Übung; 3 Übungsaufgaben à max. 3 Seiten,,['I.2.a.II.2.b']
B.Geg.05,Relief und Boden,8,6.0,84.0,156.0,keine,keine,jedes Sommersemester,1.0,,Klausur,Regelmäßige Teilnahme an der Übung; 2 Geländeprotokolle zu den Exkursionstagen à,,['I.2.a.III.2.b']
B.Geg.06,Klima und Gewässer,7,4.0,56.0,154.0,keine,keine,,,,Klausur,Regelmäßige Teilnahme an der Übung,,['I.2.a.III.2.b']
B.Geg.07,Kultur- und Sozialgeographie,7,4.0,56.0,154.0,keine,keine,jedes Wintersemester,1.0,,Gruppenreferat,Regelmäßige Teilnahme an der Übung,,['I.2.a.III.2.b']
B.Geg.08,Wirtschaftsgeographie,7,4.0,56.0,154.0,keine,keine,jedes Sommersemester,1.0,,Klausur,Regelmäßige Teilnahme an der Übung; Referat (ca.30 Min.) mit schriftlicher,,['I.2.a.III.2.b']
B.Geg.11-2,Angewandte Geoinformatik,6,2.0,28.0,152.0,keine,"B.Geg.01, B.Geg.02, B.Geg.03, B.Geg.04;",jedes Wintersemester,1.0,,GIS-Projektarbeit inkl. schriftlicher Ausarbeitung,Regelmäßige Teilnahme an der Übung,,['I.2.a.II.2.b']
B.Inf.1101,Grundlagen der Informatik und Programmierung,10,6.0,84.0,216.0,keine,keine,jedes Wintersemester,1.0,ab bis,Klausur,Die theoretischen und die praktischen Übungen aller Übungsblätter müssen jeweils,,['I.1.a']
